"y_return_year","a_age","b_brood_year","i_population","E_star_escapement","B_star_brood_stock_removals","S_star_total_spawners","H_star_hatchery_origin_escapement","W_star_wild_spawners","p_proportion_wild_spawners","tau_L_terminal_mortality_below_terrace","tau_U_terminal_mortality_above_terrace","tau_M_terminal_mortality_marine","tau_W_terminal_mortality_wild","TermRun_terminal_run","MatureRun_mature_run","A_phi_preterminal_post_fishery_abundance","A_P_ocean_pre_fishery_abundance","phi_N_preterminal_mortality_nominal","phi_Q_preterminal_mortality_adult_equivalents","N_total_run","total_harvest_estimate","tau_dot_M_marine_terminal_mortality_exploitation_rate","phi_dot_M_preterminal_mortality_harvest_rate_net_fisheries_mature_fish","r_maturation_rate","phi_dot_E_preterminal_mortality_exploitation_rate","Q_adult_equivalency_rate"
1992,5,1987,"Lower Skeena",2281.47532257677,0,2281.47532257677,0,2281.47532257677,1,96.7253038360176,0,436.49483176193,533.220135597947,2814.69545817472,2814.69545817472,3575.0503451547,4855.84149985881,1280.79115470411,1253.55081585094,4068.24627402566,1786.77095144889,0.160595888466675,0,0.787316313458215,0.263762965644853,0.978731631028898
1992,5,1987,"Middle Skeena",3368.58952140194,0,3368.58952140194,0,3368.58952140194,1,174.582531876901,749.316780607566,644.482936926381,1568.38224941085,4936.97177081279,4936.97177081279,6270.63314505398,8517.13898166815,2246.50583661417,2198.72632158533,7135.69809239812,3767.10857099618,0.160595888466675,0,0.787316313458215,0.263762965644853,0.978731631028898
1992,5,1987,"Skeena",34878.9929016959,12,34866.9929016959,418,34448.9929016959,0.988015709020667,1633.09943145161,5349.20541532258,6590.82621328141,13553.5595212709,48014.5524229668,48014.5524229668,60985.0851585524,82833.4929007855,21848.407742233,21383.7277449402,69398.2801679069,34937.2872662111,0.160595888466675,0,0.787316313458215,0.263762965644853,0.978731631028898
1992,5,1987,"Upper Skeena",602.853985016008,0,602.853985016008,0,602.853985016008,1,31.2438705836655,134.100223360143,115.338810007101,280.682903950909,883.536888966917,883.536888966917,1122.21336439234,1524.25552101608,402.042156623742,393.491375694731,1277.02826466165,674.17427964564,0.160595888466675,0,0.787316313458215,0.263762965644853,0.978731631028898
1992,5,1987,"Zymoetz",3825.46564600733,0,3825.46564600733,0,3825.46564600733,1,162.184233711717,0,731.893072452385,894.077306164102,4719.54295217143,4719.54295217143,5994.46864176009,8142.03627641539,2147.5676346553,2101.89237381105,6821.43532598248,2995.96967997515,0.160595888466675,0,0.787316313458215,0.263762965644853,0.978731631028898
1992,6,1986,"Kitsumkalum",6312,26,6286,19,6267,0.996989860583017,230.633944474861,0,0,229.939704147703,6522.9397041477,6522.9397041477,6522.9397041477,6526.09771285892,3.15800871122065,3.15800871122065,6526.09771285892,233.097712858923,0,0,1,0.000483904601213419,1
1992,6,1986,"Large Lakes",15868.2591297133,0,15868.2591297133,0,15868.2591297133,1,832.035278293882,3499.07495976657,0,4331.11023806046,20199.3693677737,20199.3693677737,20199.3693677737,20209.1486678007,9.77930002695575,9.77930002695575,20209.1486678007,4340.88953808741,0,0,1,0.000483904601213419,1
1992,6,1986,"Lower Skeena",2661.7212096729,0,2661.7212096729,0,2661.7212096729,1,112.846187808687,0,0,112.846187808687,2774.56739748158,2774.56739748158,2774.56739748158,2775.91067342901,1.34327594742945,1.34327594742945,2775.91067342901,114.189463756117,0,0,1,0.000483904601213419,1
1992,6,1986,"Middle Skeena",6255.95196831789,0,6255.95196831789,0,6255.95196831789,1,360.770982524065,1444.97777102921,0,1805.74875355327,8061.70072187116,8061.70072187116,8061.70072187116,8065.60370461539,3.9029827442273,3.9029827442273,8065.60370461539,1809.6517362975,0,0,1,0.000483904601213419,1
1992,6,1986,"Skeena",36317.3018873328,26,36291.3018873328,19,36272.3018873328,0.99947683338209,1800.23555843318,5656.85375235023,0,7456.14748763486,43754.4493749677,43754.4493749677,43754.4493749677,43775.6326050063,21.1832300385868,21.1832300385868,43775.6326050063,7477.33071767345,0,0,1,0.000483904601213419,1
1992,6,1986,"Upper Skeena",3617.12391009605,0,3617.12391009605,0,3617.12391009605,1,278.837195614409,938.087083425265,0,1216.92427903967,4834.04818913572,4834.04818913572,4834.04818913572,4836.38853980339,2.34035066766683,2.34035066766683,4836.38853980339,1219.26462970734,0,0,1,0.000483904601213419,1
1992,6,1986,"Zymoetz",2185.98036914704,0,2185.98036914704,0,2185.98036914704,1,92.6767049781241,0,0,92.6767049781241,2278.65707412517,2278.65707412517,2278.65707412517,2279.76026060494,1.1031864797701,1.1031864797701,2279.76026060494,93.7798914578943,0,0,1,0.000483904601213419,1
1993,4,1989,"Kitsumkalum",298,0,298,0,298,1,26.041208725816,0,105.704319316719,131.745528042534,429.745528042534,429.745528042534,5501.30832837815,5775.73627787356,274.427949495409,205.481516943235,635.22704498577,337.22704498577,0.261835988021199,0,0.0781169682538459,0.0475139335129831,0.748763080878075
1993,4,1989,"Large Lakes",5391.16685041244,0,5391.16685041244,0,5391.16685041244,1,509.054992144343,743.664551490059,1912.31416860974,3165.03371224415,8556.20056265658,8556.20056265658,109530.62764613,114994.467110793,5463.83946466316,4091.1212709844,12647.321833641,7256.15498322855,0.261835988021199,0,0.0781169682538459,0.0475139335129831,0.748763080878075
1993,4,1989,"Lower Skeena",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.261835988021199,0,0.0781169682538459,0.0475139335129831,0.748763080878075
1993,4,1989,"Middle Skeena",3870.44815982278,0,3870.44815982278,0,3870.44815982278,1,365.462804669632,533.894641865876,1372.89626907622,2272.25371561173,6142.70187543451,6142.70187543451,78634.6681488382,82557.2897237863,3922.62157494806,2937.11421557692,9079.81609101142,5209.36793118864,0.261835988021199,0,0.0781169682538459,0.0475139335129831,0.748763080878075
