"y","a","H_star","tau_dot_M","phi_dot_M","r","phi_dot_E","Q","b"
1992,5,418,0.160595888466675,0,0.787316313458215,0.263762965644853,0.978731631028898,1987
1992,6,19,0,0,1,0.000483904601213419,1,1986
1993,4,0,0.261835988021199,0,0.0781169682538459,0.0475139335129831,0.748763080878075,1989
1993,5,60,0.181706272372344,0.0607769561169231,0.443932765799753,0.192110302786754,0.944393275751371,1988
1993,6,76,0.250417510005299,0,1,0.186627393877575,1,1987
1994,4,21,0.237807764527674,0,0.0988679524055654,0.0563391267761999,0.77387415846124,1990
1994,5,0,0.201841046793475,0,0.093427433638117,0.0724315937885355,0.909342742012913,1989
1994,6,60,0.19644612369601,3.09601386110679e-05,1,0.17269983744377,1,1988
1995,4,0,0.303073900932003,0,0.0353007439272057,0.030342556503272,0.756746030937291,1991
1995,5,53,0.109377632781776,0,0.363308782771456,0.177344873220304,0.936330877328402,1990
1995,6,31,0.228817009628145,0,1,0.14955101519222,1,1989
1996,4,33,0.388845241286655,0,0.0903428497879216,0.0863013907843139,0.788698585067673,1992
1996,5,116,0.355684393553104,0,0.348059588336854,0.105522538490275,0.934805957862219,1991
1996,6,62,0.154618208800719,0,1,0.108342065169963,1,1990
1997,4,15,0.282568696981681,0,0.047990148977887,0.0115161378108648,0.7680996572,1993
1997,5,179,0.10159378972122,0,0.596414129160658,0.190505580468391,0.959641412314676,1992
1997,6,182,0.15416862183578,0,1,0.238902786566769,1,1991
1998,4,44,0.000632373709336437,0,0.0589884725706629,0.0513282442668654,0.797009129237988,1994
1998,5,126,0.0300864092409209,2.88759255529105e-05,0.455121587633357,0.0511565799718157,0.945512157951404,1993
1998,6,86,0.111693860370171,0,1,0.195448274500277,1,1992
1999,4,15,0.0653176960403691,0,0.048484325621903,0.0578816760920629,0.782199388492838,1995
1999,5,305,0.0351332490819761,0,0.80355497946401,0.283273502082804,0.980355497653675,1994
1999,6,75,0.083600757800943,8.56320598256987e-06,1,0.440846150098119,1,1993
2000,4,21,0.219207147009869,0,0.0765600045314919,0.0558132367441081,0.791652286102971,1996
2000,5,108,0.106227453747691,0,0.638767465569221,0.214828942553198,0.963876746018644,1995
2000,6,51,0.0186079642473915,0,1,0.276802616252416,1,1994
2001,4,36,0.408536677838064,0,0.084096467400163,0.0699769868999501,0.801862943819386,1997
2001,5,113,0.278296938912104,0,0.679734039258829,0.188688678524842,0.967973403448649,1996
2001,6,34,0.243336506367092,0,1,0.273205314036973,1,1995
2002,4,35,0.15065861759516,0,0.054018596914809,0.0625450292468864,0.793714330797031,1998
2002,5,192,0.202041603937288,0,0.795879884841195,0.40500482352073,0.979587988179957,1997
2002,6,29,0.157770592154686,0,1,0.385847949355837,1,1996
2003,4,30,0.155308855800272,0,0.0011812654358302,0.0539435692748806,0.791258558066608,1999
2003,5,322,0.0620274669550656,1.63150472430735e-05,0.7741844406248,0.187758660421045,0.977418443725989,1998
2003,6,36,0.0241903607264941,0,1,0.282868627306487,1,1997
2004,4,237,0.06061801317188,0,0.135007028375571,0.0513478394587319,0.809564128527255,2000
2004,5,695,0.023404438906784,0.0639498961727845,0.887646130964019,0.285622348593299,0.988764612928982,1999
2004,6,67,0,6.45378009921687e-06,1,0.233223761728159,1,1998
2005,4,31,0.00142211459598481,0,0.0651734796784492,0.0698475967729613,0.797547199612488,2001
2005,5,240,3.22881413037039e-05,0,0.74801421879828,0.364055425035771,0.97480142150434,2000
2005,6,90,0,0.000108176107299255,1,0.266187958421379,1,1999
2006,4,55,0.24248493754183,0,0.0333563878235471,0.0441492227490673,0.79725354331095,2002
2006,5,265,0.0766124174476749,0.078248885004713,0.792909526160158,0.25390900189088,0.979290952307427,2001
2006,6,91,0.0967813800399591,0,1,0.333010177269672,1,2000
2007,4,173,0.0254427555846455,0,0.192327634966691,0.0580057911191653,0.828332468410457,2003
2007,5,418,0.0967117045597456,0.035868945369634,0.878216087746122,0.394334353031687,0.98782160859314,2002
2007,6,112,0.0618571818931756,0.0133779488038484,1,0.000246465200973592,1,2001
2008,4,96,0.289715901604375,0,0.0818118233224299,0.026249629256813,0.802289409448629,2004
2008,5,252,0.366683935121698,0,0.843175022117934,0.182407310152677,0.984317501978106,2003
2008,6,21,0.118965346280449,3.07180252714939e-05,1,0.181677516076883,1,2002
2009,4,172,0.245138198925668,0,0.219532660423132,0.167604777846505,0.840320722099153,2005
2009,5,479,0.149644781341803,0,0.808414104542712,0.0994615480178546,0.980841410168786,2004
2009,6,137,0.0306748466257669,0,1,0.342503411499321,1,2003
2010,4,207,0.0901346588002009,0,0.256485654738047,0.042472614426447,0.848283675066906,2006
2010,5,352,0.0950267450231956,0.00908586311947569,0.942569543951553,0.320114778214819,0.994256954309577,2005
2010,6,96,0.286547976562893,0,1,0.0826613675336467,1,2004
2011,4,94,0.24113280052523,0,0.27599269099663,0.120842031727921,0.847518652988092,2007
